Key,Hidden_Gem_Score,IMDb_Score,Rotten_Tomatoes_Score,Metacritic_Score,Title,Release Date,Box_Office_Earnings
907,80.0,70.0,90.0,67.0,Be with Me,2005-09-08,1365.0
910,38.0,64.0,85.0,78.0,Beach Rats,2018-01-25,473771.0
911,27.0,65.0,44.0,52.0,Bean: The Movie,1997-11-07,45319423.0
914,19.0,56.0,21.0,40.0,Beastly,2011-03-04,27865571.0
915,41.0,77.0,92.0,79.0,Beasts of No Nation,2015-10-16,90777.0
918,38.0,60.0,75.0,68.0,Beatriz at Dinner,2017-06-09,7115854.0
921,27.0,61.0,47.0,52.0,Beautiful Creatures,2013-02-14,19452138.0
925,84.0,68.0,86.0,75.0,Beauty in Trouble,2008-06-13,19300.0
932,27.0,61.0,49.0,54.0,Bee Movie,2007-11-02,126631277.0
936,25.0,63.0,41.0,46.0,Beerfest,2006-08-25,19185184.0
938,38.0,75.0,85.0,70.0,Beetlejuice,1988-03-30,74220408.0
939,31.0,65.0,64.0,58.0,Before I Fall,2017-03-03,12241122.0
940,24.0,64.0,37.0,41.0,Before I Go to Sleep,2014-10-31,3242457.0
942,45.0,79.0,98.0,94.0,Before Midnight,2013-06-14,8114627.0
944,21.0,68.0,27.0,31.0,Before We Go,2015-07-21,37151.0
945,36.0,74.0,83.0,62.0,Begin Again,2014-07-11,16170632.0
947,25.0,64.0,37.0,49.0,Behind Enemy Lines,2001-11-30,58856790.0
948,25.0,64.0,37.0,49.0,Behind Enemy Lines,2001-11-30,58856790.0
952,56.0,76.0,95.0,71.0,Being Elmo: A Puppeteers Journey,2012-04-27,304052.0
953,43.0,77.0,93.0,90.0,Being John Malkovich,1999-12-03,22863596.0
955,36.0,64.0,82.0,69.0,Beirut,2018-04-11,5019226.0
958,75.0,65.0,83.0,58.0,Believer,2018-06-08,365639.0
966,36.0,67.0,82.0,66.0,Ben Is Back,2018-12-05,3703184.0
974,32.0,62.0,71.0,59.0,Beowulf,2007-11-16,82280579.0
978,35.0,63.0,75.0,70.0,Berlin Syndrome,2017-05-26,28660.0
988,18.0,67.0,12.0,29.0,Best of Me,2014-10-17,26766213.0
989,27.0,65.0,72.0,26.0,Best of the Best,1989-11-10,1700000.0
992,81.0,74.0,74.0,55.0,Bethany Hamilton: Unstoppable,2019-07-12,590671.0
995,37.0,65.0,89.0,67.0,Better Watch Out,2017-10-06,20369.0
997,35.0,74.0,77.0,56.0,Betty Blue,1986-11-07,2016851.0
1003,37.0,73.0,83.0,66.0,Beverly Hills Cop,1984-12-05,234760478.0
1004,27.0,65.0,47.0,48.0,Beverly Hills Cop II,1987-05-20,153665036.0
1005,13.0,56.0,9.0,16.0,Beverly Hills Cop III,1994-05-25,42614912.0
1006,16.0,56.0,14.0,27.0,Beverly Hills Ninja,1997-01-17,31480418.0
1007,18.0,48.0,24.0,34.0,Bewitched,2005-06-24,63313159.0
1017,38.0,69.0,83.0,73.0,Beyond the Lights,2014-11-14,14618727.0
1018,46.0,76.0,82.0,73.0,Beyond the Mat,2000-03-17,2053648.0
1024,24.0,64.0,39.0,41.0,Big Daddy,1999-06-25,163479795.0
1025,34.0,70.0,72.0,62.0,Big Eyes,2014-12-25,14482031.0
1026,22.0,54.0,44.0,36.0,Big Fat Liar,2002-02-08,48360547.0
1027,35.0,80.0,75.0,58.0,Big Fish,2004-01-09,66809693.0
1029,31.0,54.0,78.0,53.0,Big Game,2015-06-26,24752.0
1031,33.0,65.0,75.0,61.0,Big Miracle,2012-02-03,20157300.0
1035,34.0,73.0,78.0,53.0,Big Trouble in Little China,1986-07-02,11100000.0
1048,84.0,63.0,100.0,73.0,Bill Nye: Science Guy,2017-03-12,74909.0
