Key,Hidden Gem Score,IMDb Score,Rotten Tomatoes Score,Metacritic Score
1680,4.1,7.7,90.0,80.0
1682,4.0,7.3,84.0,83.0
1688,1.5,5.5,10.0,23.0
1689,2.5,7.0,36.0,42.0
1692,3.4,7.9,64.0,61.0
1693,2.6,6.0,44.0,50.0
1698,3.1,6.9,61.0,57.0
1699,2.8,6.2,64.0,41.0
1702,3.4,6.1,84.0,60.0
1707,3.9,6.9,91.0,74.0
1709,3.7,7.4,79.0,68.0
1713,4.2,7.6,95.0,82.0
1714,3.7,7.1,83.0,66.0
1715,3.8,6.3,89.0,74.0
1716,4.0,6.5,100.0,75.0
1718,6.6,6.3,90.0,76.0
1725,2.1,6.3,30.0,36.0
1732,3.4,6.5,72.0,66.0
1738,3.6,6.6,88.0,62.0
1739,1.8,5.7,10.0,41.0
1743,3.3,7.1,75.0,55.0
1745,4.5,7.8,97.0,94.0
1746,2.1,6.1,20.0,47.0
1752,3.3,7.2,63.0,61.0
1756,3.9,7.4,92.0,70.0
1757,3.3,6.5,70.0,62.0
1758,3.2,5.6,76.0,58.0
1759,3.4,7.0,65.0,70.0
1761,2.4,6.1,37.0,44.0
1764,2.9,5.5,62.0,59.0
1765,5.2,3.7,33.0,54.0
1768,2.3,5.3,41.0,42.0
1777,0.8,3.1,1.0,13.0
1778,2.0,5.6,27.0,39.0
1779,2.2,6.2,30.0,42.0
1780,1.8,6.0,21.0,30.0
1785,4.2,8.0,93.0,80.0
1787,6.0,5.5,68.0,63.0
1793,3.5,8.0,69.0,61.0
1794,3.9,8.0,83.0,72.0
1801,4.1,7.6,93.0,74.0
1816,5.4,7.2,62.0,56.0
1818,1.2,4.7,0.0,24.0
1823,2.1,6.2,23.0,39.0
1824,2.5,6.2,35.0,55.0
1825,2.6,6.3,41.0,50.0
1828,3.9,7.4,84.0,75.0
1829,1.2,5.5,4.0,15.0
1831,4.5,8.3,98.0,86.0
1832,4.5,8.3,98.0,86.0
1834,3.1,6.3,66.0,56.0
1849,3.4,7.3,75.0,59.0
1850,4.1,7.6,90.0,79.0
1855,4.4,7.6,90.0,96.0
1856,2.6,6.1,38.0,60.0
1867,3.7,6.8,83.0,70.0
1870,2.4,6.5,41.0,39.0
1873,1.9,6.2,20.0,34.0
1877,3.8,8.0,85.0,65.0
1879,7.0,6.3,64.0,58.0
1883,2.2,6.3,28.0,43.0
1886,3.9,6.1,91.0,79.0
1888,2.5,5.7,43.0,51.0
1893,2.1,4.5,38.0,43.0
1898,2.5,6.4,42.0,43.0
1900,2.1,6.8,20.0,36.0
1902,3.1,7.0,68.0,51.0
1903,1.9,6.4,18.0,31.0
1904,1.5,5.9,11.0,18.0
1906,1.4,5.0,6.0,28.0
1907,6.3,7.0,86.0,73.0
1909,2.9,5.9,59.0,54.0
1910,2.5,6.2,45.0,40.0
1912,3.7,7.1,83.0,68.0
1916,3.1,7.2,58.0,58.0
1917,3.3,7.1,70.0,59.0
1919,7.8,6.1,92.0,65.0
1922,3.9,7.6,89.0,66.0
1924,3.9,7.6,89.0,66.0
1926,2.2,6.2,28.0,40.0
1927,4.1,7.7,89.0,80.0
1931,2.9,7.0,53.0,49.0
1932,2.7,6.7,60.0,34.0
1939,2.7,7.0,42.0,49.0
1942,2.2,5.6,27.0,49.0
1946,3.7,7.1,92.0,61.0
1947,3.4,7.2,70.0,62.0
1948,3.8,8.1,80.0,68.0
1963,3.2,7.2,64.0,55.0
1964,3.8,7.6,81.0,72.0
1965,3.5,7.3,75.0,62.0
1966,2.8,6.3,58.0,49.0
1967,2.6,6.0,51.0,46.0
1975,2.4,5.7,41.0,45.0
1976,3.9,7.3,82.0,77.0
1977,1.3,4.7,9.0,23.0
1979,2.6,6.2,50.0,44.0
1983,2.1,6.1,25.0,42.0
1989,3.9,7.2,87.0,76.0
1991,3.2,7.0,65.0,55.0
1995,1.6,5.5,7.0,35.0
2003,1.5,4.9,12.0,27.0
2006,4.1,8.2,94.0,72.0
2008,3.7,7.1,82.0,69.0
2009,3.2,7.6,59.0,58.0
2011,4.1,7.7,90.0,78.0
2027,2.6,5.9,42.0,56.0
2034,3.4,7.0,68.0,65.0
2035,1.5,5.9,11.0,21.0
2036,4.3,7.7,89.0,90.0
